0	4
0	5
0	7
0	14
0	17
0	25
0	26
0	27
0	28
0	50
0	59
0	62
0	75
1	3
1	11
1	14
1	19
1	25
1	28
1	30
1	33
1	52
1	54
1	56
1	57
1	61
1	87
2	5
2	10
2	11
2	14
2	27
2	39
2	52
2	53
2	62
2	81
3	4
3	7
3	14
3	34
3	41
3	44
3	50
3	51
3	54
3	58
3	59
3	64
3	69
3	76
3	79
3	85
3	87
4	7
4	26
4	51
5	27
5	50
6	58
6	61
7	17
7	24
7	25
7	52
7	55
7	56
7	57
7	70
7	96
8	13
8	19
8	31
8	32
8	44
8	48
8	58
8	75
9	10
9	65
10	13
10	14
10	16
10	20
10	28
10	31
10	45
10	48
10	58
10	62
10	68
10	88
11	14
11	28
12	14
12	17
12	51
13	16
13	25
13	27
13	30
13	34
13	38
13	45
13	48
13	50
13	51
13	85
14	27
14	30
14	40
14	50
14	60
15	46
15	64
15	76
16	19
16	28
16	51
17	73
17	87
20	39
20	65
20	87
21	68
22	27
22	62
22	75
23	50
24	31
24	34
24	51
25	29
25	32
25	34
25	38
25	50
25	51
25	53
25	56
25	87
26	42
26	44
27	39
27	45
27	50
27	54
27	55
27	56
27	65
27	69
27	76
28	34
28	57
28	76
31	62
31	93
33	34
34	50
34	54
34	79
35	62
38	50
38	55
38	56
38	62
38	75
39	42
41	51
41	68
42	59
42	70
43	53
43	55
44	50
46	72
48	50
48	68
50	81
51	52
51	62
52	64
53	79
55	96
56	76
56	77
58	75
58	90
60	87
62	66
63	81
65	79
65	90
67	87
68	88
69	90
72	76
76	78
76	80
87	94
